Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Gls,Ast,Sh,SoT,xG,xAG,Cmp,Att,PrgP,Tkl,Int,90s,G+A,Sh/90,Cmp%,KP,SCA,PrgC,Carries,CrdY,CrdR
Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24.0,3,1,86,0,0,0,0,0.0,0.0,50,63,8,2,1,1.0,0,0.0,79.4,0,2,1,41,0,0
Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24.0,4,1,120,0,0,0,0,0.0,0.0,47,66,6,4,0,1.3,0,0.0,71.2,1,1,0,46,2,0
Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,1,1,65,0,0,1,0,0.1,0.0,17,29,2,3,1,0.7,0,1.38,58.6,0,0,3,13,1,0
James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20.0,6,0,88,0,0,1,0,0.1,0.0,36,46,4,4,1,1.0,0,1.02,78.3,0,1,3,29,1,0
Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,1,0,3,0,0,0,0,0.0,0.0,2,2,0,1,0,0.0,0,0.0,100.0,0,0,1,1,0,0
Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,16,11,1033,0,0,2,1,0.2,0.1,438,505,22,17,14,11.5,0,0.17,86.7,2,6,4,322,2,0
Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24.0,32,32,2842,6,1,35,8,6.4,3.2,1373,1672,207,48,26,31.6,7,1.11,82.1,39,94,107,1183,4,0
Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,12,10,855,0,0,0,0,0.0,0.0,471,521,52,21,15,9.5,0,0.0,90.4,0,8,6,342,2,0
Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,25,17,1393,5,2,29,11,4.3,1.9,502,678,42,43,20,15.5,7,1.87,74.0,20,45,35,391,2,0
Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,4,2,205,0,1,1,0,0.0,0.2,118,136,9,3,2,2.3,1,0.44,86.8,2,6,6,90,0,0
Abel,es ESP,DF,Osasuna,es La Liga,23.0,35,20,2074,2,0,12,4,0.5,1.0,776,1071,77,61,18,23.0,2,0.52,72.5,16,39,50,605,3,0
Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21.0,7,4,263,0,0,2,0,0.0,0.0,36,61,6,6,0,2.9,0,0.68,59.0,1,3,2,34,1,0
Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28.0,1,0,7,0,0,0,0,0.0,0.0,1,1,0,0,0,0.1,0,0.0,100.0,0,0,0,0,0,0
Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,34,33,2768,9,2,73,26,8.5,3.8,351,538,48,11,4,30.8,11,2.37,65.2,27,61,75,587,3,0
Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,19,12,1090,1,1,7,3,0.6,1.1,568,675,66,29,5,12.1,2,0.58,84.1,11,25,31,426,1,0
Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,26,22,1901,7,2,62,26,10.2,1.6,221,349,22,22,6,21.1,9,2.94,63.3,12,34,34,375,4,0
Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,29,29,2463,0,1,12,1,0.9,0.3,719,939,79,36,39,27.4,1,0.44,76.6,8,25,16,632,13,0
Tammy Abraham,eng ENG,FW,Roma,it Serie A,26.0,1,0,1,0,0,0,0,0.0,0.0,1,3,1,0,0,0.0,0,0.0,33.3,0,0,0,3,0,0
